"Centre: Name","Inventory: Name","Unit Type","Floor"
"Gurgaon Central","NCR/GC/FD/00/028","Flexible Desk","0"
"Gurgaon Central","NCR/GC/FD/00/029","Flexible Desk","0"
"Gurgaon Central","NCR/GC/VO/00/001","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/003","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/002","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/004","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/005","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/006","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/010","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/007","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/008","Virtual Office",""
"Gurgaon Central","NCR/GC/VO/00/009","Virtual Office",""
"Gurgaon Central","NCR/GC/CP/B1/001","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/002","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/003","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/004","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/005","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/006","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/007","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/008","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/009","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/010","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/011","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/012","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/013","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/014","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/015","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/016","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/017","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/018","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/019","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/020","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/021","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/022","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/023","Car Parking",""
"Gurgaon Central","NCR/GC/CP/B1/024","Car Parking",""
