Proposal: Proposal Name,Contract Number,Status,Account Name,Account Owner,Centre
BLR/IN/00287/2,301,Activated,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/00323/1,327,Formal Notice Given,PRITBOR,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/01013/1,874,Month on Month,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/02112/1,1741,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/01025/1,879,Activated,Pluralsight India Pvt Ltd,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/02108/1,1742,Activated,Doreming,Rumpa Das,CoWrks New Indiranagar
BLR/IN/02188/1,1826,Activated,Xia Market Advisory Services Pvt Ltd.,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/02579/1,2195,Activated,TransFunnel,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02741/1,2201,Activated,CaliperBusiness,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02058/1,1887,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02220/1,1914,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar
BLR/IN/02488/1,2119,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02746/1,2214,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02588/1,2152,Activated,CaliperBusiness,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02781/1,2235,Activated,UANDH Private Limited,Raghu Ram,CoWrks New Indiranagar
BLR/IN/02219/1,1827,Activated,NXT Trade & Agency Services India Pvt Ltd,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02426/1,2001,Activated,Feministaa,Rumpa Das,CoWrks New Indiranagar
BLR/IN/02716/1,2187,Activated,CaliperBusiness,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02516/1,2065,Activated,UANDH Private Limited,Raghu Ram,CoWrks New Indiranagar
BLR/IN/02187/1,1801,Activated,Tactai Software India Private Limited,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/02785/1,2239,Activated,Xia Market Advisory Services Pvt Ltd.,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/02780/2,2240,Activated,Freshworks Technologies Private Limited,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02202/1,1815,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02522/2,2112,Activated,Akshatha Satyanarayanan,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02595/1,2129,Month on Month,Infoeaze Digital Services Pvt. Ltd.,Antoinette Monisha,CoWrks New Indiranagar
BLR/IN/02581/1,2162,Activated,Deep Value Technology Private Limited,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02140/1,1903,Activated,ENORMOUS IT SERVICES PVT LTD,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/02496/1,2126,Activated,Singularity Furniture Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02222/1,1829,Activated,"Branch Metrics, Inc.",Smriti Gautam,CoWrks New Indiranagar
BLR/IN/02745/1,2245,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/02653/1,2246,Activated,Alibaba.com E-Commerce India Pvt Ltd,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/02898/1,2359,Activated,Lux Ét Umbra,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/03091/1,2458,Activated,Yellow Lion Group,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/02744/1,2304,Activated,NGGAWE NIRMAN TECHNOLOGIES PRIVATE LIMITED,Jithin Raj,CoWrks New Indiranagar
BLR/IN/01314/1,1091,Month on Month,Shoffr Pte. Ltd.,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/01364/1,1097,Month on Month,Zimperium Inc,Raghu Ram,CoWrks New Indiranagar
BLR/IN/00386/1,386,Month on Month,Groomedin Solutions Pvt Ltd,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/01427/1,1085,Month on Month,Epoch Brand Services India Pvt Ltd.,Raghu Ram,CoWrks New Indiranagar
BLR/IN/01503/1,1144,Month on Month,Pencilbox,Rumpa Das,CoWrks New Indiranagar
BLR/IN/01993/2,1643,Activated,Tactai Software India Private Limited,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/01446/1,1114,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar
BLR/IN/02173/1,1788,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar
BLR/IN/01690/2,1349,Activated,KOTTARAM AGRO FOODS PVT LTD,Sidharth Menda,CoWrks New Indiranagar
BLR/IN/01773/1,1472,Month on Month,Idealyze Partners LLP,Rumpa Das,CoWrks New Indiranagar
BLR/IN/00304/2,1367,Activated,SYNOPSYS (INDIA) PRIVATE LIMITED,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/01470/1,1271,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/01531/2,1248,Month on Month,Intec Capital Limited,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/01535/1,1179,Month on Month,Twistedpair Technologies Pvt. Ltd,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/00973/1,859,Month on Month,VITALPOINTZ NETWORKS INDIA PRIVATE LIMITED,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/00930/1,843,Month on Month,GT Informatics,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/00837/1,801,Activated,Harish Naik,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/00889/1,831,Activated,Way2Online Interactive India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar
BLR/IN/00954/1,851,Activated,Start Rn D,Raghu Ram,CoWrks New Indiranagar
BLR/IN/00515/4,822,Month on Month,LM Wind Power Technologies India Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/00859/2,800,Activated,Aicumen Innovations Private Limited,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/00869/1,807,Month on Month,Reed Exhibitions,Manish Narendra,CoWrks New Indiranagar
BLR/IN/01115/1,996,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/01041/1,894,Month on Month,Lobo Capital,Auguste Pocuinaite,CoWrks New Indiranagar
BLR/IN/00121/3,900,Activated,Zapyle,Sidharth Menda,CoWrks New Indiranagar
BLR/IN/01295/2,1010,Activated,Zapyle,Sidharth Menda,CoWrks New Indiranagar
BLR/IN/01135/1,911,Formal Notice Given,Digital Reach Pvt Ltd,Raghu Ram,CoWrks New Indiranagar
BLR/IN/00824/1,784,Month on Month,Autovert Technologies Private Limited,Raghu Ram,CoWrks New Indiranagar
BLR/IN/01233/2,966,Activated,Decathlon Sports India Pvt Ltd,Raghu Ram,CoWrks New Indiranagar
BLR/IN/00768/1,726,Formal Notice Given,Logesys Solutions India Pvt. Ltd,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/01250/1,1016,Month on Month,Growth Hackers,Jithin Raj,CoWrks New Indiranagar
BLR/IN/01121/1,1068,Activated,Sandvik Asia Pvt. Ltd.,Rumpa Das,CoWrks New Indiranagar
BLR/IN/01189/1,945,Activated,Wemax Advisors LLP,Khursheed Alem Khan,CoWrks New Indiranagar
BLR/IN/01154/1,941,Activated,ADFG TECH INDIA PRIVATE LIMITED,Smriti Gautam,CoWrks New Indiranagar
BLR/IN/00173/3,217,Month on Month,Stylumia Intelligence Technology Pvt Ltd,Imaad Ahmed,CoWrks New Indiranagar
BLR/IN/02060/1,1792,Activated,Freshworks Technologies Private Limited,Jithin Raj,CoWrks New Indiranagar
CHN/MN/01168/4,1740,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/02430/1,2073,Activated,Salvagnini Group,Antoinette Monisha,CoWrks OMR
CHN/MN/02786/1,2236,Activated,Aditya Vani Info Systems Private Limited,Rumpa Das,CoWrks OMR
CHN/MN/02335/1,2075,Activated,Lumera Software Solutions Private Limited,Antoinette Monisha,CoWrks OMR
CHN/MN/02783/1,2234,Activated,Rayles And Roobie Technologies Private Limited,Antoinette Monisha,CoWrks OMR
CHN/MN/02649/1,2151,Activated,Obotap ESolutions Private Limited,Antoinette Monisha,CoWrks OMR
CHN/MN/02252/1,1880,Activated,Leap  Mantra,Antoinette Monisha,CoWrks OMR
CHN/MN/02364/4,1933,Activated,IBITS TECHNOLOGY SOLUTIONS,Antoinette Monisha,CoWrks OMR
CHN/MN/02131/1,1876,Activated,Aditya Vani Info Systems Private Limited,Rumpa Das,CoWrks OMR
CHN/MN/02860/1,2330,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/02747/2,2403,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/02899/2,2361,Activated,Shell India Markets Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/02833/1,2278,Activated,Tritrix,Antoinette Monisha,CoWrks OMR
CHN/MN/03128/1,2479,Activated,Leap  Mantra,Antoinette Monisha,CoWrks OMR
CHN/MN/02750/1,2314,Activated,Obotap ESolutions Private Limited,Antoinette Monisha,CoWrks OMR
CHN/MN/03062/1,2487,Activated,LegalEase Solutions India Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/01860/1,1583,Activated,Augustus Athigaman,Jithin Raj,CoWrks OMR
CHN/MN/01915/1,1562,Activated,Product Hunt,Antoinette Monisha,CoWrks OMR
CHN/MN/01642/2,1299,Activated,Daily Ninja Delivery Services Pvt Ltd,Smriti Gautam,CoWrks OMR
CHN/MN/01577/1,1383,Activated,Conduent Business Services India LLP,Jithin Raj,CoWrks OMR
CHN/MN/01789/1,1467,Activated,Koshavrudhi,Jithin Raj,CoWrks OMR
CHN/MN/01651/1,1319,Activated,Rayles And Roobie Technologies Private Limited,Antoinette Monisha,CoWrks OMR
CHN/MN/01548/1,1236,Activated,National Fire Protection & Hazard Control,Antoinette Monisha,CoWrks OMR
CHN/MN/01113/1,1295,Activated,Conde Nast India Private Limited,Jithin Raj,CoWrks OMR
CHN/MN/01495/2,1416,Activated,Chargebee Technologies Pvt Ltd,Antoinette Monisha,CoWrks OMR
CHN/MN/01636/1,1293,Activated,Virtual Tech Gurus India Pvt Ltd,Jithin Raj,CoWrks OMR
CHN/MN/01394/1,1074,Activated,Virtual Tech Gurus India Pvt Ltd,Jithin Raj,CoWrks OMR
CHN/MN/01020/1,967,Activated,CiberSites India Pvt. Ltd.,Deepika Bisht,CoWrks OMR
MUM/BC/01821/5,2013,Activated,Sanctum Wealth Management Private Limited,Sneha Khemani,CoWrks Worli
MUM/BC/01457/6,2101,Activated,ZTE Telecom India Pvt Ltd,Maaz Shaikh,CoWrks Worli
MUM/BC/01933/5,2173,Activated,Kkings Events,Sneha Khemani,CoWrks Worli
MUM/BC/02317/1,1907,Activated,Alteria Capital,Maaz Shaikh,CoWrks Worli
MUM/BC/02464/1,2056,Activated,Sky Realty,Sneha Khemani,CoWrks Worli
