Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/PT/PS/2B/012,2B,Available,1,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/013,2B,Available,4,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/014,2B,Available,4,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/015,2B,Available,11,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/016,2B,Available,12,0,,1,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/2B/017,2B,Available,15,1,,0,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/042,02,Booked (Locked In),10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/043,02,Available,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/044,02,Booked (Locked In),10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/045,02,Booked (Locked In),10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/046,02,Blocked,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/047,02,Available,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/048,02,Booked (Locked In),10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/049,02,Booked (Locked In),2,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/050,02,Booked (Locked In),4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/051,02,Booked (Locked In),4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/02/052,02,Booked (Locked In),9,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/001,00,Booked (Locked In),2,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/002,00,Formal Notice,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/003,00,Formal Notice,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/004,00,Formal Notice,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/005,00,Booked (Locked In),4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/006,00,Booked (Locked In),4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/007,00,Available,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/008,00,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/009,00,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/010,00,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/011,00,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/012,00,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/00/013,00,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/014,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/015,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/016,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/017,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/018,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/019,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/020,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/021,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/022,01,,2,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/023,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/024,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/025,01,,9,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/026,01,,3,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/027,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/028,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/029,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/030,01,,9,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/031,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/032,01,,10,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/033,01,,4,No,,Yes,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/034,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
NCR/PT/PS/01/035,01,,10,Yes,,No,CoWrks Golf Course Road,Private Studio
